6890-110323-02,,,,,
ITEM NO.,QTY.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
1,1,,,BUSHING .5"MNPT X .375"FNPT,3002-0503-025
2,5,,,ELBOW .50" 90°,3012-0050-025
3,1,,,ELBOW 1.5" 90° FNPT,3012-0150-025
4,2,,,UNION .5" FNPT,3031-0050-025
5,1,,,PLUG SQ HD CS 1.5" MNPT,3085-0150-025
6,1,3.50,,NIPPLE .375"MNPT X 3.5",3086-0335-025
7,1,1.13,,NIPPLE .5"MNPT X CLOSE,3086-0500-025
8,1,1.50,,NIPPLE .5"MNPT X 1.5",3086-0515-025
9,4,2.00,,NIPPLE .50"MNPT X 2.0",3086-0520-025
10,1,3.50,,NIPPLE .5"MNPT X 3.5",3086-0535-025
11,2,3.00,,NIPPLE 1.5"MNPT X 3.0"L,3086-1530-025
12,1,4.50,,NIPPLE 1.5"MNPT X 4.5",3086-1545-025
13,1,6.79,6.79,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
14,1,8.66,8.66,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
15,2,,,VLV BALL 1.5" FP 2-PC THD BRZ/TF,7302-0150-000
16,1,,,VLV GLOBE .5"  THD BRZ 125#,7326-0050-000
17,1,,,VLV SOL 2WAY 1/2"FNPT N4 BRS/BN 120V 5P,7334-0050-002
