6890-$PRPSHEET:"SW-File Name"-02,,,,
ITEM NO.,QTY.,LENGTH,DESCRIPTION,PART NUMBER
1,1,,BUSHING .5"MNPT X .25"FNPT,3002-0502-025
2,1,,BUSHING .5"MNPT X .375"FNPT,3002-0503-025
3,2,,BUSHING .75"MNPT X .50"FNPT,3002-0705-025
4,1,,CROSS .5" FNPT,3005-0050-025
5,4,,ELBOW .50" 90°,3012-0050-025
6,4,,UNION .5" FNPT,3031-0050-025
7,1,,PLUG SQ HD CS .38" MNPT,3085-0037-025
8,1,1.50,NIPPLE .375"MNPT X 1.5",3086-0315-025
9,1,2.50,NIPPLE .375"MNPT X 2.5",3086-0325-025
10,1,1.73,NIPPLE .5"MNPT X 1.5",3086-0515-025
11,3,2.00,NIPPLE .50"MNPT X 2.0",3086-0520-025
12,2,2.50,NIPPLE .5"MNPT X 2.5",3086-0525-025
13,1,3.52,NIPPLE .5"MNPT X 3.5",3086-0535-025
14,3,3.50,NIPPLE .5"MNPT X 3.5",3086-0535-025
15,1,,GAUGE COMP 15/0/30"PSI/HGV FILLED,3605-0025-000
16,1,,GAUGE TMP .5"  20-240°F 3" DIAL 304 SS,3630-0050-000
17,1,10.11,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
18,1,9.97,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
19,1,9.14,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
20,1,16.25,PIPE .50" NOM DIA XSCH40 CS.,5500-0050-000
21,1,,STRAINER Y .5" FNPT CI/304,6770-0050-000
22,1,,SWITCH FLOW .5" FNPT N7 BRS 1.5 GPM,6900-0050-000
23,1,, VLV BALL .5"FNPT FP 2-PC BRZ/TF,7302-0050-000
24,1,,VLV BALL .38" SP 2-PC THD BRZ/TF,7304-0038-000
25,1,,VLV GATE .50" THD BRONZE 125#,7324-0050-000
